GENE_NAME	CHROM
DDX11L1	chr1
WASH7P	chr1
MIR6859-1	chr1
MIR1302-2HG	chr1
FAM138A	chr1
OR4G4P	chr1
OR4G11P	chr1
OR4F5	chr1
RP11-34P13.7	chr1
CICP27	chr1
RP11-34P13.15	chr1
RP11-34P13.16	chr1
RP11-34P13.14	chr1
RP11-34P13.13	chr1
RNU6-1100P	chr1
RP11-34P13.9	chr1
ABC7-43046700E7.1	chr1
RP11-34P13.18	chr1
MIR6859-2	chr1
AP006222.2	chr1
RPL23AP24	chr1
RP5-857K21.15	chr1
RP4-669L17.2	chr1
RP4-669L17.10	chr1
WBP1LP7	chr1
OR4F29	chr1
CICP7	chr1
RP4-669L17.8	chr1
U6	chr1
RP5-857K21.4	chr1
RP5-857K21.2	chr1
MTND1P23	chr1
MTND2P28	chr1
MTCO1P12	chr1
MTCO2P12	chr1
MTATP8P1	chr1
MTATP6P1	chr1
MTCO3P12	chr1
WBP1LP6	chr1
OR4F16	chr1
RP11-206L10.17	chr1
CICP3	chr1
RP11-206L10.2	chr1
RNU6-1199P	chr1
RP11-206L10.4	chr1
RP11-206L10.9	chr1
RP11-206L10.8	chr1
FAM87B	chr1
LINC01128	chr1
LINC00115	chr1
FAM41C	chr1
TUBB8P11	chr1
FAM166AP3	chr1
RP11-54O7.16	chr1
RP11-54O7.1	chr1
RP11-54O7.2	chr1
RP11-54O7.3	chr1
SAMD11	chr1
NOC2L	chr1
KLHL17	chr1
PLEKHN1	chr1
PERM1	chr1
RP11-54O7.17	chr1
HES4	chr1
ISG15	chr1
RP11-54O7.10	chr1
RP11-54O7.11	chr1
AGRN	chr1
RP11-465B22.3	chr1
RP11-54O7.18	chr1
RNF223	chr1
C1orf159	chr1
LINC01342	chr1
MIR200B	chr1
MIR200A	chr1
MIR429	chr1
RP11-465B22.8	chr1
TTLL10-AS1	chr1
TTLL10	chr1
TNFRSF18	chr1
TNFRSF4	chr1
SDF4	chr1
B3GALT6	chr1
C1QTNF12	chr1
RP5-902P8.12	chr1
UBE2J2	chr1
LINC01786	chr1
SCNN1D	chr1
ACAP3	chr1
MIR6726	chr1
PUSL1	chr1
INTS11	chr1
MIR6727	chr1
RP5-890O3.9	chr1
CPTP	chr1
TAS1R3	chr1
DVL1	chr1
MIR6808	chr1
MXRA8	chr1
AURKAIP1	chr1
NDUFB4P8	chr1
CCNL2	chr1
RP4-758J18.2	chr1
MRPL20	chr1
RP4-758J18.13	chr1
ANKRD65	chr1
RP4-758J18.7	chr1
TMEM88B	chr1
LINC01770	chr1
VWA1	chr1
ATAD3C	chr1
ATAD3B	chr1
ATAD3A	chr1
TMEM240	chr1
SSU72	chr1
RP5-832C2.5	chr1
RP11-345P4.11	chr1
FNDC10	chr1
RP11-345P4.9	chr1
MIB2	chr1
MMP23B	chr1
CDK11B	chr1
RP11-345P4.10	chr1
SLC35E2B	chr1
RP11-345P4.6	chr1
MMP23A	chr1
CDK11A	chr1
RP1-283E3.4	chr1
SLC35E2	chr1
NADK	chr1
GNB1	chr1
RP1-140A9.1	chr1
CALML6	chr1
TMEM52	chr1
CFAP74	chr1
RP11-547D24.1	chr1
GABRD	chr1
RP11-547D24.3	chr1
PRKCZ	chr1
RP5-892K4.1	chr1
PRKCZ-AS1	chr1
FAAP20	chr1
RP11-181G12.4	chr1
SKI	chr1
MORN1	chr1
RP4-713A8.1	chr1
RP4-740C4.5	chr1
RP4-740C4.7	chr1
RER1	chr1
PEX10	chr1
PLCH2	chr1
RP3-395M20.2	chr1
RP3-395M20.3	chr1
PANK4	chr1
HES5	chr1
RP3-395M20.12	chr1
RP3-395M20.8	chr1
TNFRSF14	chr1
RP3-395M20.7	chr1
RP3-395M20.9	chr1
FAM213B	chr1
MMEL1	chr1
RP13-436F16.1	chr1
TTC34	chr1
ABC14-1188822O7.1	chr1
RP11-740P5.2	chr1
RP11-740P5.3	chr1
ACTRT2	chr1
LINC00982	chr1
PRDM16	chr1
MIR4251	chr1
RP1-163G9.2	chr1
RP11-193J6.1	chr1
RP11-22L13.1	chr1
ARHGEF16	chr1
RP11-168F9.2	chr1
MEGF6	chr1
MIR551A	chr1
RP11-46F15.2	chr1
TPRG1L	chr1
WRAP73	chr1
TP73	chr1
RP5-1092A11.5	chr1
RP5-1092A11.2	chr1
TP73-AS1	chr1
CCDC27	chr1
SMIM1	chr1
LRRC47	chr1
RN7SL574P	chr1
RP1-286D6.5	chr1
CEP104	chr1
DFFB	chr1
C1orf174	chr1
LINC01134	chr1
LINC01346	chr1
LINC01345	chr1
EEF1DP6	chr1
LINC01777	chr1
RP1-37J18.1	chr1
LINC01646	chr1
AJAP1	chr1
RP11-542C10.1	chr1
RP1-58B11.1	chr1
RP3-491M17.1	chr1
RP11-154H17.1	chr1
MIR4417	chr1
MIR4689	chr1
NPHP4	chr1
KCNAB2	chr1
CHD5	chr1
RPL22	chr1
RP1-120G22.11	chr1
RNF207	chr1
ICMT	chr1
LINC00337	chr1
HES3	chr1
GPR153	chr1
ACOT7	chr1
HES2	chr1
ESPN	chr1
MIR4252	chr1
RP1-202O8.2	chr1
TNFRSF25	chr1
PLEKHG5	chr1
NOL9	chr1
RNU6-731P	chr1
RP11-58A11.2	chr1
TAS1R1	chr1
ZBTB48	chr1
KLHL21	chr1
PHF13	chr1
THAP3	chr1
DNAJC11	chr1
LINC01672	chr1
RP11-312B8.1	chr1
CAMTA1	chr1
RP11-312B8.2	chr1
RP11-334N17.1	chr1
RNU1-8P	chr1
CAMTA1-IT1	chr1
RP3-453P22.2	chr1
RP4-549F15.1	chr1
RP11-338N10.1	chr1
RP11-338N10.2	chr1
RP11-338N10.3	chr1
VAMP3	chr1
RP3-467L1.6	chr1
PER3	chr1
RP3-467L1.4	chr1
UTS2	chr1
TNFRSF9	chr1
RP5-892F13.2	chr1
PARK7	chr1
Y_RNA	chr1
ERRFI1	chr1
RP11-431K24.1	chr1
CTA-215D11.4	chr1
RP11-431K24.2	chr1
LINC01714	chr1
RNU1-7P	chr1
RP11-431K24.4	chr1
RNU6-991P	chr1
SLC45A1	chr1
Y_RNA	chr1
RERE	chr1
RP5-1115A15.1	chr1
SNORA77	chr1
RP5-1115A15.2	chr1
RPL7P11	chr1
RPL7P7	chr1
Y_RNA	chr1
RP4-633I8.3	chr1
RP4-633I8.4	chr1
RPL23AP19	chr1
ENO1	chr1
MIR6728	chr1
ENO1-IT1	chr1
ENO1-AS1	chr1
RNU6-304P	chr1
HMGN2P17	chr1
RP3-477M7.5	chr1
RP3-477M7.6	chr1
CA6	chr1
RN7SL451P	chr1
SLC2A7	chr1
SLC2A5	chr1
SCARNA16	chr1
GPR157	chr1
MIR34AHG	chr1
LINC01759	chr1
RP3-510D11.4	chr1
H6PD	chr1
SPSB1	chr1
RNA5SP40	chr1
RP13-392I16.1	chr1
SLC25A33	chr1
RP13-15M17.1	chr1
TMEM201	chr1
PIK3CD	chr1
PIK3CD-AS1	chr1
RP11-558F24.2	chr1
PIK3CD-AS2	chr1
CLSTN1	chr1
MZT1P1	chr1
RP11-84A14.7	chr1
CTNNBIP1	chr1
LZIC	chr1
RP11-84A14.4	chr1
NMNAT1	chr1
RN7SKP269	chr1
RP11-84A14.6	chr1
MIR5697	chr1
RBP7	chr1
UBE4B	chr1
RP11-496H15.2	chr1
PGAM1P11	chr1
RNU6-828P	chr1
KIF1B	chr1
MIR1273D	chr1
RNU6-37P	chr1
PGD	chr1
RP4-736L20.3	chr1
CENPS	chr1
CORT	chr1
DFFA	chr1
PEX14	chr1
RN7SL614P	chr1
CASZ1	chr1
RP4-734G22.3	chr1
HSPE1P24	chr1
C1orf127	chr1
CFL1P6	chr1
TARDBP	chr1
MASP2	chr1
RP4-635E18.8	chr1
SRM	chr1
EXOSC10	chr1
RP4-635E18.7	chr1
RP4-635E18.6	chr1
MTOR	chr1
MTOR-AS1	chr1
RNU6-537P	chr1
ANGPTL7	chr1
RNU6-291P	chr1
RPL39P6	chr1
UBIAD1	chr1
UBE2V2P3	chr1
MTCYBP45	chr1
DISP3	chr1
LINC01647	chr1
FBXO2	chr1
FBXO44	chr1
FBXO6	chr1
MAD2L2	chr1
DRAXIN	chr1
AGTRAP	chr1
C1orf167	chr1
RP11-56N19.5	chr1
MTHFR	chr1
CLCN6	chr1
NPPA-AS1	chr1
NPPA	chr1
NPPB	chr1
RP5-934G17.6	chr1
RNU5E-1	chr1
RNU5E-4P	chr1
KIAA2013	chr1
